hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
1,6714|8079|8408,8081|8410,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2761,1,http://www.reactome.org/biopax/96/56210#Catalysis1615
2,4326|7815|9252,7817|9457|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4263,1,http://www.reactome.org/biopax/96/56210#Catalysis2548
3,1791|8205|8223,8262|8974,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2600,1,http://www.reactome.org/biopax/96/56210#Catalysis1463
4,1613|7733|8045,1602|8395|8974|9515,3,4,http://www.reactome.org/biopax/96/56210#BiochemicalReaction197,1,http://www.reactome.org/biopax/96/56210#Catalysis112
5,2093|8734|9002|9136|9156,8733|9025|9135,5,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3154,1,http://www.reactome.org/biopax/96/56210#Catalysis1973
6,2219|8974|9308,8476,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3362,1,http://www.reactome.org/biopax/96/56210#Catalysis2180
7,2233|2235|8045,2234|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3373,1,http://www.reactome.org/biopax/96/56210#Catalysis2184
8,2197|8045|8962|9490,8395|8476|8927,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3338,1,http://www.reactome.org/biopax/96/56210#Catalysis2156
9,5337|9131,9132,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction269,1,http://www.reactome.org/biopax/96/56210#Catalysis153
10,28|8259,29|8270,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction804,1,http://www.reactome.org/biopax/96/56210#Catalysis522
11,7554|8381|8382|8383,8384|8385,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2735,1,http://www.reactome.org/biopax/96/56210#Catalysis1591
12,2088|8726|9515,8162|8728,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3227,1,http://www.reactome.org/biopax/96/56210#Catalysis2046
13,96|1246|8134,321|9138,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1808,1,http://www.reactome.org/biopax/96/56210#Catalysis901
14,6336|9432|9453,9433|9454,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction573,1,http://www.reactome.org/biopax/96/56210#Catalysis382
15,6268|9170|9193,8542|9194,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction454,1,http://www.reactome.org/biopax/96/56210#Catalysis266
16,2328|2336|8045,2339|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3476,1,http://www.reactome.org/biopax/96/56210#Catalysis2234
17,2229|2231,2227|8476,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3398,1,http://www.reactome.org/biopax/96/56210#Catalysis2202
18,5959|5961|9270,5960|9272,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4737,1,http://www.reactome.org/biopax/96/56210#Catalysis2727
20,1846|8374|8375,8376|8974,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2730,1,http://www.reactome.org/biopax/96/56210#Catalysis1587
