hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
0,7740|26110|26163,26161|26171,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2794,1,http://www.reactome.org/biopax/96/48887#Catalysis1312
1,6412|23832|23940|24508,23968|24572|24583,4,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1188,1,http://www.reactome.org/biopax/96/48887#Catalysis494
2,6627|6637,6636,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1539,1,http://www.reactome.org/biopax/96/48887#Catalysis663
3,17751|19137,19135,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11433,1,http://www.reactome.org/biopax/96/48887#Catalysis5515
4,2340|6537,19152|19164|19169|19170|21205,2,5,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11457,1,http://www.reactome.org/biopax/96/48887#Catalysis5525
6,17688|23420|23968|25451|25462,23832|24707|25483,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8984,1,http://www.reactome.org/biopax/96/48887#Catalysis3665
7,2863|25019|25026,23546|25993,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12077,1,http://www.reactome.org/biopax/96/48887#Catalysis5667
8,9086|24772,9088|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4211,1,http://www.reactome.org/biopax/96/48887#Catalysis1560
9,10277|15602,10278,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5646,1,http://www.reactome.org/biopax/96/48887#Catalysis2195
10,7580|14596,18357|18358,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10595,1,http://www.reactome.org/biopax/96/48887#Catalysis4949
11,10961|16222,10960|14834,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6293,1,http://www.reactome.org/biopax/96/48887#Catalysis2371
12,956|16828|18804,16458|18805,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11107,1,http://www.reactome.org/biopax/96/48887#Catalysis5302
13,3644|24772,3645|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction13047,1,http://www.reactome.org/biopax/96/48887#Catalysis6026
14,6103|14834,6113,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction963,1,http://www.reactome.org/biopax/96/48887#Catalysis365
15,5024|20508,5023|14834,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14633,1,http://www.reactome.org/biopax/96/48887#Catalysis6458
16,5727|19012|23533,19010|23534,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction916,1,http://www.reactome.org/biopax/96/48887#Catalysis347
17,12860|14155,22868,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4504,1,http://www.reactome.org/biopax/96/48887#Control973
