hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
0,13196|17871|18502,16993|18503,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction7916,1,http://www.reactome.org/biopax/96/48892#Catalysis4272
1,3653|3654|17020,3656|17029,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction2372,1,http://www.reactome.org/biopax/96/48892#Catalysis1034
2,255|13072|13073,8254,3,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction7599,-1,http://www.reactome.org/biopax/96/48892#Control971
3,1188,4433|9224,1,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction9347,1,http://www.reactome.org/biopax/96/48892#Catalysis4751
4,5048|16324|17504|18877,17505|18917,4,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4328,1,http://www.reactome.org/biopax/96/48892#Catalysis2507
5,4912|16324|17255|18877,17316|18917,4,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4132,1,http://www.reactome.org/biopax/96/48892#Catalysis2318
6,10880|17733,17734|18785,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4539,1,http://www.reactome.org/biopax/96/48892#Catalysis2716
7,8902|14596,12651,2,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction7020,1,http://www.reactome.org/biopax/96/48892#Control870
8,8579|14358|17020,14372|17029,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction639,1,http://www.reactome.org/biopax/96/48892#Control82
10,2620|15638|16778,15640,3,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1459,1,http://www.reactome.org/biopax/96/48892#Catalysis702
11,4840|17571|18850,17629|18851,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4459,1,http://www.reactome.org/biopax/96/48892#Catalysis2638
12,5082|17561,17562|18785,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4389,1,http://www.reactome.org/biopax/96/48892#Catalysis2568
13,4333|4340|4352|16465,4344,4,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction316,1,http://www.reactome.org/biopax/96/48892#Control68
14,1621|10427|18713,1625|18174,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction9888,1,http://www.reactome.org/biopax/96/48892#Catalysis4950
15,2321|15184|15330,14363|15332,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1242,1,http://www.reactome.org/biopax/96/48892#Catalysis571
16,4859|17140|17189,17190|17191,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4030,1,http://www.reactome.org/biopax/96/48892#Catalysis2217
17,8627|14368|16368,14369|16453,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction638,-1,http://www.reactome.org/biopax/96/48892#Control80
18,2878|15843|18785,3414|18750,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction2135,1,http://www.reactome.org/biopax/96/48892#Catalysis942
19,11321|18132|18689,18133|18693,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction5224,1,http://www.reactome.org/biopax/96/48892#Catalysis3136
20,15012|16324|16552|18575,17860|18572,4,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1032,1,http://www.reactome.org/biopax/96/48892#Catalysis396
21,8664|12370|13327|16920,8668,4,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction8139,1,http://www.reactome.org/biopax/96/48892#Control1093
22,2122|2124,2126|14870,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction907,1,http://www.reactome.org/biopax/96/48892#Catalysis297
23,4991|17438|18917,16324|17437|18877,3,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4258,1,http://www.reactome.org/biopax/96/48892#Catalysis2441
24,14983|18305|18785,16324|18088|18750,3,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction998,1,http://www.reactome.org/biopax/96/48892#Catalysis362
25,9565|16415|17779|17914|18021,16417|17780|17936,5,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4576,1,http://www.reactome.org/biopax/96/48892#Catalysis2751
26,4535|16639|16640,16641|17729,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction3414,1,http://www.reactome.org/biopax/96/48892#Catalysis1652
27,3974|16368,3975|16453,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction2654,1,http://www.reactome.org/biopax/96/48892#Catalysis1090
