hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
0,12709|16353,14173,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2127,1,http://www.reactome.org/biopax/96/48895#Catalysis1028
1,5935|9377|16482,9378|16574,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5541,1,http://www.reactome.org/biopax/96/48895#Catalysis2282
2,1706|5412|15939,1707|14254,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5070,1,http://www.reactome.org/biopax/96/48895#Catalysis2161
3,9717|9725|16462,9726|16466,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6184,1,http://www.reactome.org/biopax/96/48895#Catalysis2533
4,492|11237,495,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8850,1,http://www.reactome.org/biopax/96/48895#Control866
5,9383|10345,10344,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6857,1,http://www.reactome.org/biopax/96/48895#Catalysis2974
6,10340|10341|10343,9383|10342,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6855,-1,http://www.reactome.org/biopax/96/48895#Control620
7,6946|16482,6947|7735,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6705,1,http://www.reactome.org/biopax/96/48895#Catalysis2891
8,10776|15175|16223,14203|15343|16284,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7583,1,http://www.reactome.org/biopax/96/48895#Catalysis3637
9,9906|14117|16482,14106|14553|14793,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6478,1,http://www.reactome.org/biopax/96/48895#Catalysis2680
10,6827|6829|14255|16324,6828|16325|16424,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6445,1,http://www.reactome.org/biopax/96/48895#Catalysis2647
11,10955|13927|15624,14446|14793|15625,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8085,1,http://www.reactome.org/biopax/96/48895#Catalysis4093
12,10596|14765|16462,14768|16466,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7152,1,http://www.reactome.org/biopax/96/48895#Catalysis3220
13,10780|14097|15187,14096|15188|16551,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7590,1,http://www.reactome.org/biopax/96/48895#Catalysis3644
14,2582|13078|16504,4150|16514,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2578,1,http://www.reactome.org/biopax/96/48895#Catalysis1196
15,4933|11335|13927,11336|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8931,1,http://www.reactome.org/biopax/96/48895#Catalysis4788
16,2770|6270,1061|9992,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2769,1,http://www.reactome.org/biopax/96/48895#Catalysis1308
17,5499|13302|13747,10105|11363,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6626,1,http://www.reactome.org/biopax/96/48895#Catalysis2820
18,7220|14446|16515,14308|14793|16541,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6976,1,http://www.reactome.org/biopax/96/48895#Catalysis3055
19,161|10318|15851|16588,11024|14317,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8340,1,http://www.reactome.org/biopax/96/48895#Catalysis4341
20,1598|1602|14019,1601|12381,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1620,1,http://www.reactome.org/biopax/96/48895#Catalysis693
21,11775|16302,16301,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction968,1,http://www.reactome.org/biopax/96/48895#Catalysis421
22,7346|15865|16343,15866,3,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8356,1,http://www.reactome.org/biopax/96/48895#Catalysis4357
23,2657|5621,2654|10745,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2658,1,http://www.reactome.org/biopax/96/48895#Catalysis1242
24,68|10985,69,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8195,1,http://www.reactome.org/biopax/96/48895#Catalysis4203
25,11743|15385,15393,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction906,1,http://www.reactome.org/biopax/96/48895#Catalysis368
26,275|14873|15343|15607|16058,14874|15321|16059,5,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8555,-1,http://www.reactome.org/biopax/96/48895#Control836
27,3532|13596|16462,13594|16466,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3367,1,http://www.reactome.org/biopax/96/48895#Catalysis1550
29,173|4379|8245|13927,173|4380|14308|15079,4,4,http://www.reactome.org/biopax/96/48895#BiochemicalReaction4132,1,http://www.reactome.org/biopax/96/48895#Catalysis1832
31,2510|13110|16504,2619|16514,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2619,1,http://www.reactome.org/biopax/96/48895#Catalysis1221
32,10766|13972|14196|14793,14362|15159|16424,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7570,-1,http://www.reactome.org/biopax/96/48895#Control705
33,7406|15116|16343,15111|15123,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7505,1,http://www.reactome.org/biopax/96/48895#Catalysis3562
